,PlayKey,time,event,x,y,dir,dis,o,s
72,26624-1-1,7.2,,85.07,29.62,273.76,0.06,175.52,0.64
73,26624-1-1,7.3,,85,29.63,275.08,0.06,176.35,0.6
74,26624-1-1,7.4,,84.94,29.64,277.13,0.06,176.93,0.56
75,26624-1-1,7.5,,84.89,29.67,279.06,0.06,177.17,0.52
76,26624-1-1,7.6,,84.85,29.7,280.49,0.06,177.14,0.48
77,26624-1-1,7.7,,84.8,29.73,282.23,0.06,176.93,0.44
78,26624-1-1,7.8,,84.75,29.75,284.53,0.05,176.61,0.41
79,26624-1-1,7.9,,84.71,29.78,286.9,0.05,176.25,0.38
80,26624-1-1,8,,84.69,29.81,288.17,0.04,175.87,0.35
81,26624-1-1,8.1,,84.66,29.83,289.94,0.03,175.37,0.32
82,26624-1-1,8.2,,84.64,29.83,290.49,0.02,174.84,0.29
83,26624-1-1,8.3,,84.62,29.84,290.55,0.02,174.31,0.26
84,26624-1-1,8.4,,84.6,29.85,288.25,0.02,173.66,0.24
85,26624-1-1,8.5,line_set,84.59,29.85,283.47,0.01,173.11,0.22
86,26624-1-1,8.6,,84.58,29.84,279.57,0.01,172.83,0.19
87,26624-1-1,8.7,,84.56,29.83,275.08,0.02,172.79,0.17
88,26624-1-1,8.8,,84.55,29.83,268.05,0.02,172.87,0.16
89,26624-1-1,8.9,,84.54,29.82,260.38,0.01,172.99,0.15
90,26624-1-1,9,,84.53,29.82,253.31,0.01,173.11,0.13
91,26624-1-1,9.1,,84.51,29.81,249.73,0.02,173.23,0.13
92,26624-1-1,9.2,,84.5,29.81,245.41,0.02,173.45,0.12
93,26624-1-1,9.3,,84.48,29.8,242.56,0.02,173.89,0.11
94,26624-1-1,9.4,,84.47,29.8,241.96,0.02,174.44,0.11
95,26624-1-1,9.5,,84.45,29.79,241.76,0.02,175.02,0.1
96,26624-1-1,9.6,,84.44,29.78,241.9,0.02,175.61,0.1
97,26624-1-1,9.7,,84.43,29.77,242.91,0.01,176.14,0.09
98,26624-1-1,9.8,,84.43,29.76,244.03,0.01,176.58,0.08
99,26624-1-1,9.9,,84.43,29.76,244.16,0.01,176.98,0.08
100,26624-1-1,10,,84.43,29.75,244,0.01,177.42,0.07
101,26624-1-1,10.1,,84.42,29.75,243.93,0,177.89,0.06
102,26624-1-1,10.2,,84.42,29.75,243.73,0,178.37,0.05
103,26624-1-1,10.3,,84.42,29.75,243.05,0,178.79,0.04
104,26624-1-1,10.4,,84.41,29.75,245.36,0,179.12,0.03
105,26624-1-1,10.5,,84.41,29.75,250.85,0,179.27,0.02
106,26624-1-1,10.6,,84.41,29.75,262.44,0,179.3,0.02
107,26624-1-1,10.7,,84.41,29.76,277.79,0,179.31,0.02
108,26624-1-1,10.8,,84.41,29.76,289.58,0,179.31,0.02
109,26624-1-1,10.9,,84.4,29.76,297.52,0,179.34,0.02
110,26624-1-1,11,,84.4,29.76,303.32,0,179.41,0.02
111,26624-1-1,11.1,,84.4,29.76,307.73,0,179.5,0.02
112,26624-1-1,11.2,,84.4,29.76,310.52,0,179.59,0.02
113,26624-1-1,11.3,,84.4,29.76,311.21,0,179.69,0.02
114,26624-1-1,11.4,,84.4,29.76,310.63,0,179.82,0.02
115,26624-1-1,11.5,,84.4,29.77,309.22,0,179.99,0.02
116,26624-1-1,11.6,,84.39,29.77,306.48,0,180.17,0.02
117,26624-1-1,11.7,,84.39,29.77,303.2,0,180.39,0.01
118,26624-1-1,11.8,,84.39,29.77,298.84,0,180.6,0.01
119,26624-1-1,11.9,,84.39,29.77,293.28,0,180.81,0.01
120,26624-1-1,12,,84.39,29.77,287.41,0,181,0.01
121,26624-1-1,12.1,,84.39,29.77,281.99,0,181.17,0.01
122,26624-1-1,12.2,,84.39,29.77,276.72,0,181.33,0.01
123,26624-1-1,12.3,,84.39,29.77,271.62,0,181.47,0.01
124,26624-1-1,12.4,,84.39,29.77,266.39,0,181.6,0.01
125,26624-1-1,12.5,,84.38,29.77,261.69,0,181.72,0.01
126,26624-1-1,12.6,,84.38,29.77,258.4,0,181.83,0.01
127,26624-1-1,12.7,,84.38,29.77,255.94,0,181.93,0.01
128,26624-1-1,12.8,,84.38,29.77,253.84,0,182.02,0.01
129,26624-1-1,12.9,,84.38,29.77,252.34,0,182.11,0.01
130,26624-1-1,13,,84.38,29.77,250.76,0,182.22,0.01
131,26624-1-1,13.1,,84.38,29.77,248.48,0,182.36,0.01
132,26624-1-1,13.2,,84.38,29.77,245.54,0,182.52,0.01
133,26624-1-1,13.3,,84.38,29.77,242.78,0,182.7,0.01
134,26624-1-1,13.4,,84.37,29.77,240.89,0,182.89,0.01
135,26624-1-1,13.5,,84.37,29.77,238.95,0,183.08,0.02
136,26624-1-1,13.6,,84.37,29.77,237.01,0,183.28,0.02
137,26624-1-1,13.7,,84.37,29.77,234.41,0,183.5,0.02
138,26624-1-1,13.8,,84.37,29.77,230.55,0,183.74,0.02
139,26624-1-1,13.9,,84.37,29.77,225.62,0,184.01,0.02
140,26624-1-1,14,,84.36,29.77,220.06,0,184.3,0.02
141,26624-1-1,14.1,,84.36,29.76,214.28,0,184.6,0.02
142,26624-1-1,14.2,,84.36,29.76,208.54,0,184.92,0.02
143,26624-1-1,14.3,,84.36,29.76,202.48,0,185.23,0.02
144,26624-1-1,14.4,,84.36,29.76,196.14,0,185.55,0.02
145,26624-1-1,14.5,,84.36,29.75,189.48,0,185.88,0.02
146,26624-1-1,14.6,,84.36,29.75,183.58,0,186.22,0.02
147,26624-1-1,14.7,,84.36,29.75,177.81,0,186.58,0.02
148,26624-1-1,14.8,,84.36,29.74,171.92,0,186.92,0.02
149,26624-1-1,14.9,,84.36,29.74,165.66,0,187.23,0.02
150,26624-1-1,15,,84.36,29.74,157.83,0,187.51,0.02
151,26624-1-1,15.1,,84.36,29.74,147.45,0,187.74,0.02
152,26624-1-1,15.2,,84.36,29.74,135.17,0,187.91,0.02
153,26624-1-1,15.3,,84.36,29.73,122.96,0,188.01,0.02
154,26624-1-1,15.4,,84.36,29.73,112.73,0,188.04,0.03
155,26624-1-1,15.5,,84.37,29.73,102.65,0,187.99,0.04
156,26624-1-1,15.6,,84.37,29.73,95.82,0,187.89,0.12
157,26624-1-1,15.7,,84.37,29.73,94.81,0,187.75,0.33
158,26624-1-1,15.8,,84.37,29.73,94.9,0,187.6,0.6
159,26624-1-1,15.9,,84.38,29.73,95.04,0,187.5,0.85
160,26624-1-1,16,,84.38,29.73,95.2,0,187.85,1.07
161,26624-1-1,16.1,,84.39,29.74,95.04,0.01,189.03,1.27
162,26624-1-1,16.2,ball_snap,84.39,29.74,94.89,0.01,191.09,1.46
163,26624-1-1,16.3,,84.4,29.74,94.54,0.01,193.77,1.65
164,26624-1-1,16.4,,84.43,29.74,94.14,0.03,196.86,1.84
165,26624-1-1,16.5,,84.58,29.73,93.86,0.15,200.37,2.03
166,26624-1-1,16.6,,84.95,29.7,93.79,0.37,204.4,2.2
167,26624-1-1,16.7,,85.43,29.65,93.91,0.48,208.64,2.36
168,26624-1-1,16.8,,85.89,29.6,94.02,0.46,212.76,2.5
169,26624-1-1,16.9,,86.28,29.56,94.1,0.39,216.66,2.63
170,26624-1-1,17,,86.64,29.53,94.27,0.36,220.6,2.74
171,26624-1-1,17.1,,86.98,29.51,94.6,0.34,224.35,2.83
172,26624-1-1,17.2,,87.32,29.5,94.97,0.34,227.73,2.9
173,26624-1-1,17.3,,87.68,29.49,95.32,0.36,229.94,2.94
174,26624-1-1,17.4,,88.02,29.49,95.68,0.35,231,2.9
175,26624-1-1,17.5,,88.33,29.47,96.18,0.31,231.21,2.72
176,26624-1-1,17.6,,88.6,29.44,96.76,0.28,230.98,2.48
177,26624-1-1,17.7,,88.87,29.42,97.29,0.26,230.2,2.24
178,26624-1-1,17.8,,89.11,29.4,97.91,0.24,228.92,2.03
179,26624-1-1,17.9,,89.31,29.37,99.01,0.21,227.66,1.84
180,26624-1-1,18,,89.48,29.33,100.59,0.17,226.76,1.67
181,26624-1-1,18.1,,89.6,29.28,102.96,0.13,226.22,1.5
182,26624-1-1,18.2,,89.7,29.24,105.66,0.11,225.71,1.33
183,26624-1-1,18.3,,89.77,29.21,109.33,0.08,225.35,1.16
184,26624-1-1,18.4,,89.82,29.17,113.16,0.07,224.53,1.01
185,26624-1-1,18.5,,89.86,29.12,117.54,0.06,223.92,0.88
186,26624-1-1,18.6,,89.88,29.09,123.52,0.04,223.26,0.77
187,26624-1-1,18.7,,89.9,29.06,130.43,0.04,222.34,0.67
188,26624-1-1,18.8,,89.91,29.02,136.31,0.04,221.36,0.61
189,26624-1-1,18.9,,89.94,28.96,141.14,0.07,219.57,0.55
190,26624-1-1,19,,89.96,28.89,143.76,0.07,216.11,0.51
191,26624-1-1,19.1,,89.98,28.85,144.36,0.05,210.62,0.48
192,26624-1-1,19.2,,90,28.79,143.19,0.06,203.48,0.46
193,26624-1-1,19.3,,90,28.75,139.92,0.04,194.64,0.45
194,26624-1-1,19.4,,90.01,28.71,135.24,0.04,183.55,0.46
195,26624-1-1,19.5,,90.02,28.65,130.59,0.06,170.29,0.47
196,26624-1-1,19.6,pass_forward,90.03,28.61,125.06,0.04,156,0.49
197,26624-1-1,19.7,,90.07,28.58,119.11,0.05,142.25,0.52
198,26624-1-1,19.8,,90.1,28.55,113.77,0.04,130.55,0.54
199,26624-1-1,19.9,,90.15,28.54,108.8,0.05,121.43,0.57
200,26624-1-1,20,,90.21,28.54,106.03,0.06,114.76,0.61
201,26624-1-1,20.1,,90.26,28.55,103.24,0.06,110.05,0.65
202,26624-1-1,20.2,,90.34,28.55,101.82,0.08,107.09,0.69
203,26624-1-1,20.3,,90.44,28.54,100.32,0.1,106.82,0.73
204,26624-1-1,20.4,,90.53,28.54,98.54,0.09,108.63,0.75
205,26624-1-1,20.5,,90.63,28.55,97.67,0.1,112.09,0.77
206,26624-1-1,20.6,,90.72,28.56,98.1,0.1,116.5,0.77
207,26624-1-1,20.7,,90.83,28.57,99.36,0.1,121.32,0.77
208,26624-1-1,20.8,,90.93,28.56,101.48,0.11,126.15,0.76
209,26624-1-1,20.9,,91.03,28.55,104.65,0.1,130.51,0.74
210,26624-1-1,21,,91.13,28.53,108.41,0.1,134.11,0.72
211,26624-1-1,21.1,,91.22,28.5,112.67,0.09,137,0.68
212,26624-1-1,21.2,,91.29,28.48,118.01,0.08,139,0.63
213,26624-1-1,21.3,,91.35,28.45,124.74,0.06,140.05,0.6
214,26624-1-1,21.4,,91.4,28.43,133.27,0.06,140.28,0.57
215,26624-1-1,21.5,,91.44,28.38,142.61,0.06,139.77,0.56
216,26624-1-1,21.6,,91.47,28.33,152.11,0.06,138.45,0.57
217,26624-1-1,21.7,pass_arrived,91.49,28.27,161.33,0.06,136.26,0.57
218,26624-1-1,21.8,,91.49,28.2,169.7,0.06,133.4,0.59
219,26624-1-1,21.9,,91.49,28.14,176.96,0.06,130.17,0.61
220,26624-1-1,22,,91.47,28.08,182.85,0.07,126.82,0.65
221,26624-1-1,22.1,,91.44,28.01,187.81,0.08,123.44,0.69
222,26624-1-1,22.2,,91.41,27.93,191.14,0.08,120.36,0.74
223,26624-1-1,22.3,,91.37,27.85,193.58,0.09,117.63,0.79
224,26624-1-1,22.4,pass_outcome_incomplete,91.34,27.76,195.89,0.1,115.46,0.82
225,26624-1-1,22.5,,91.3,27.67,197.85,0.1,113.81,0.85
226,26624-1-1,22.6,,91.26,27.59,199.34,0.09,112.61,0.87
227,26624-1-1,22.7,,91.22,27.51,200.02,0.09,112.02,0.89
228,26624-1-1,22.8,,91.19,27.42,200.21,0.09,112.3,0.92
229,26624-1-1,22.9,,91.16,27.34,199.63,0.09,113.41,0.94
230,26624-1-1,23,,91.12,27.24,199.3,0.1,115.12,0.96
231,26624-1-1,23.1,,91.09,27.14,198.57,0.1,117.04,0.97
232,26624-1-1,23.2,,91.07,27.04,197.81,0.1,119.18,0.98
233,26624-1-1,23.3,,91.04,26.96,197.2,0.09,121.56,0.98
234,26624-1-1,23.4,,91.01,26.87,196.55,0.09,123.92,0.99
235,26624-1-1,23.5,,90.98,26.79,195.54,0.09,125.92,1
236,26624-1-1,23.6,,90.94,26.7,194.4,0.1,127.38,1.01
237,26624-1-1,23.7,,90.92,26.59,193.6,0.11,128.31,1.03
238,26624-1-1,23.8,,90.9,26.49,193.29,0.11,128.67,1.04
239,26624-1-1,23.9,,90.87,26.38,193.25,0.11,128.31,1.04
240,26624-1-1,24,,90.85,26.27,193.45,0.11,127.21,1.04
241,26624-1-1,24.1,,90.83,26.17,193.76,0.1,125.47,1.03
242,26624-1-1,24.2,,90.81,26.07,193.99,0.1,123.36,1.04
243,26624-1-1,24.3,,90.79,25.97,194.19,0.1,121.05,1.04
244,26624-1-1,24.4,,90.78,25.85,194.18,0.11,118.46,1.05
245,26624-1-1,24.5,,90.76,25.74,193.66,0.12,115.62,1.04
246,26624-1-1,24.6,,90.75,25.62,193.08,0.12,112.62,1.03
247,26624-1-1,24.7,,90.73,25.52,192.87,0.11,109.8,1.02
248,26624-1-1,24.8,,90.69,25.42,192.6,0.1,107.35,1
249,26624-1-1,24.9,,90.66,25.33,192.28,0.1,105.39,0.99
250,26624-1-1,25,,90.63,25.24,191.95,0.1,103.97,0.98
251,26624-1-1,25.1,,90.59,25.15,191.81,0.1,102.96,0.97
252,26624-1-1,25.2,,90.55,25.06,191.74,0.1,102.15,0.96
253,26624-1-1,25.3,,90.51,24.97,192.01,0.1,101.63,0.93
254,26624-1-1,25.4,,90.5,24.88,192.31,0.09,101.38,0.91
255,26624-1-1,25.5,,90.5,24.79,192.71,0.09,101.52,0.88
256,26624-1-1,25.6,,90.49,24.7,192.99,0.08,102.13,0.86
257,26624-1-1,25.7,,90.48,24.61,193,0.09,103.25,0.84
258,26624-1-1,25.8,,90.47,24.53,193.18,0.09,104.73,0.82
259,26624-1-1,25.9,,90.46,24.44,193.31,0.09,106.3,0.79
260,26624-1-1,26,,90.46,24.36,192.95,0.08,107.84,0.77
261,26624-1-1,26.1,,90.44,24.28,192.24,0.08,109.29,0.73
262,26624-1-1,26.2,,90.43,24.21,191.55,0.07,110.94,0.7
263,26624-1-1,26.3,,90.42,24.14,191.56,0.07,112.93,0.66
264,26624-1-1,26.4,,90.4,24.07,191.75,0.07,115.37,0.63
265,26624-1-1,26.5,,90.38,24.01,191.12,0.07,118,0.59
266,26624-1-1,26.6,,90.35,23.95,189.73,0.07,120.77,0.55
267,26624-1-1,26.7,,90.32,23.9,188.65,0.06,123.75,0.51
268,26624-1-1,26.8,,90.3,23.85,187.94,0.06,126.83,0.46
269,26624-1-1,26.9,,90.28,23.81,186.54,0.05,130.02,0.41
270,26624-1-1,27,,90.27,23.77,183.88,0.04,133.34,0.37
271,26624-1-1,27.1,,90.26,23.74,180.09,0.03,136.9,0.33
272,26624-1-1,27.2,,90.26,23.71,175.69,0.03,140.55,0.28
273,26624-1-1,27.3,,90.27,23.68,169.31,0.03,144.18,0.25
274,26624-1-1,27.4,,90.29,23.65,158.67,0.03,147.55,0.21
275,26624-1-1,27.5,,90.31,23.63,143.42,0.03,150.68,0.18
276,26624-1-1,27.6,,90.33,23.62,124.45,0.03,153.61,0.17
277,26624-1-1,27.7,,90.35,23.62,105.86,0.02,156.49,0.18
278,26624-1-1,27.8,,90.37,23.62,91.75,0.02,159.14,0.19
279,26624-1-1,27.9,,90.4,23.62,82.84,0.03,161.36,0.21
280,26624-1-1,28,,90.43,23.62,75.58,0.03,163.21,0.23
281,26624-1-1,28.1,,90.46,23.63,69.41,0.03,164.74,0.25
282,26624-1-1,28.2,,90.48,23.64,63.92,0.03,165.98,0.26
283,26624-1-1,28.3,,90.52,23.66,58.42,0.04,167.03,0.27
284,26624-1-1,28.4,,90.55,23.69,52.91,0.04,168.09,0.28
285,26624-1-1,28.5,,90.57,23.72,48.59,0.05,169.24,0.28
286,26624-1-1,28.6,,90.6,23.76,46.76,0.05,170.4,0.28
287,26624-1-1,28.7,,90.62,23.79,44.1,0.04,171.44,0.28
288,26624-1-1,28.8,,90.65,23.82,41.46,0.03,172.26,0.27
289,26624-1-1,28.9,,90.67,23.84,38.46,0.03,172.85,0.26
290,26624-1-1,29,,90.68,23.86,35.61,0.03,173.32,0.25
291,26624-1-1,29.1,,90.69,23.89,32.54,0.02,173.74,0.24
292,26624-1-1,29.2,,90.7,23.91,28.68,0.02,174.17,0.23
293,26624-1-1,29.3,,90.71,23.93,25.59,0.03,174.62,0.21
294,26624-1-1,29.4,,90.71,23.96,23.51,0.02,175.11,0.19
295,26624-1-1,29.5,,90.72,23.96,20.93,0.01,175.57,0.17
296,26624-1-1,29.6,,90.72,23.97,17.95,0.01,175.92,0.15
297,26624-1-1,29.7,,90.72,23.98,13.81,0.01,176.11,0.14
298,26624-1-1,29.8,,90.72,23.99,9.55,0.01,176.18,0.12
299,26624-1-2,0,huddle_start_offense,88.74,28.02,69.05,0.02,274.74,0.08
300,26624-1-2,0.1,,88.77,28.02,70.21,0.03,274.63,0.08
301,26624-1-2,0.2,,88.8,28.02,69.84,0.03,274.41,0.07
302,26624-1-2,0.3,,88.86,28.02,69.8,0.06,274.11,0.06
303,26624-1-2,0.4,,88.91,28.02,67.9,0.06,273.82,0.05
304,26624-1-2,0.5,,88.92,28.03,40.03,0.01,273.69,0.03
305,26624-1-2,0.6,,88.94,28.03,325.1,0.01,273.62,0.04
306,26624-1-2,0.7,,88.98,28.03,57.49,0.04,273.52,0.05
307,26624-1-2,0.8,,89.02,28.03,85.36,0.05,273.38,0.08
308,26624-1-2,0.9,,88.99,28.02,91.8,0.03,273.2,0.07
309,26624-1-2,1,,88.98,28.02,107.65,0.01,272.94,0.03
310,26624-1-2,1.1,,89.01,28.03,227.44,0.03,272.65,0.02
311,26624-1-2,1.2,,89,28.03,258.91,0,272.38,0.05
312,26624-1-2,1.3,,88.98,28.03,261.6,0.02,272.07,0.08
313,26624-1-2,1.4,,88.95,28.03,259.18,0.03,271.65,0.08
314,26624-1-2,1.5,,88.93,28.04,254.96,0.02,271.1,0.08
315,26624-1-2,1.6,,88.92,28.03,251.7,0.01,270.29,0.09
316,26624-1-2,1.7,,88.9,28.02,251.52,0.02,269.22,0.11
317,26624-1-2,1.8,,88.86,28.01,243.75,0.04,268.08,0.07
318,26624-1-2,1.9,,88.81,28.01,229.35,0.05,266.96,0.05
319,26624-1-2,2,,88.78,28,220.1,0.03,265.76,0.04
320,26624-1-2,2.1,,88.77,28,182.5,0.01,264.42,0.04
321,26624-1-2,2.2,,88.76,28,129.79,0.01,262.95,0.06
322,26624-1-2,2.3,,88.78,28,127.25,0.01,261.28,0.07
323,26624-1-2,2.4,,88.8,28,123.61,0.02,259.44,0.08
324,26624-1-2,2.5,,88.82,27.98,119.62,0.02,257.42,0.08
325,26624-1-2,2.6,,88.84,27.97,112.77,0.03,255.33,0.07
326,26624-1-2,2.7,,88.88,27.97,98.43,0.04,253.27,0.07
327,26624-1-2,2.8,,88.92,27.97,80.03,0.04,251.36,0.08
328,26624-1-2,2.9,,88.96,27.97,57.16,0.04,249.41,0.08
329,26624-1-2,3,,89,27.96,31.2,0.05,247.48,0.07
330,26624-1-2,3.1,,89.06,27.96,1.73,0.06,245.7,0.08
331,26624-1-2,3.2,,89.06,27.96,335.34,0.01,244.17,0.12
332,26624-1-2,3.3,,89.05,27.95,321.83,0.01,242.77,0.18
333,26624-1-2,3.4,,89.04,27.96,316.08,0.01,241.48,0.25
334,26624-1-2,3.5,huddle_break_offense,89.02,27.97,312.89,0.02,240.31,0.32
335,26624-1-2,3.6,,88.99,28,310.55,0.04,239.3,0.41
336,26624-1-2,3.7,,88.95,28.03,308.88,0.06,238.37,0.5
337,26624-1-2,3.8,,88.89,28.07,307.38,0.07,237.13,0.59
338,26624-1-2,3.9,,88.84,28.11,306.56,0.07,235.48,0.68
339,26624-1-2,4,,88.77,28.14,305.37,0.08,233.46,0.78
340,26624-1-2,4.1,,88.69,28.19,305.58,0.09,231.3,0.85
341,26624-1-2,4.2,,88.61,28.25,305.26,0.1,228.81,0.93
342,26624-1-2,4.3,,88.51,28.3,304.62,0.11,225.95,0.99
343,26624-1-2,4.4,,88.42,28.37,303.88,0.11,222.93,1.06
344,26624-1-2,4.5,,88.32,28.45,303.31,0.13,220,1.11
345,26624-1-2,4.6,,88.22,28.53,302.52,0.13,217.14,1.16
346,26624-1-2,4.7,,88.11,28.61,301.5,0.13,214.37,1.2
347,26624-1-2,4.8,,88.01,28.69,300.68,0.13,211.54,1.23
348,26624-1-2,4.9,,87.92,28.77,299.95,0.13,208.82,1.26
349,26624-1-2,5,,87.81,28.85,299.02,0.13,206.5,1.29
350,26624-1-2,5.1,,87.69,28.92,298.1,0.14,204.57,1.3
351,26624-1-2,5.2,,87.57,28.97,297.01,0.13,203,1.31
352,26624-1-2,5.3,,87.45,29.03,295.85,0.14,201.66,1.31
353,26624-1-2,5.4,,87.31,29.1,294.42,0.15,200.55,1.31
354,26624-1-2,5.5,,87.19,29.15,292.95,0.14,199.48,1.3
355,26624-1-2,5.6,,87.06,29.2,291.62,0.14,198.19,1.29
356,26624-1-2,5.7,,86.93,29.24,290.19,0.14,196.63,1.28
357,26624-1-2,5.8,,86.8,29.28,288.61,0.14,194.92,1.27
358,26624-1-2,5.9,,86.67,29.31,287.5,0.14,193.07,1.25
359,26624-1-2,6,,86.54,29.35,286.45,0.13,191.31,1.23
360,26624-1-2,6.1,,86.42,29.37,286.15,0.13,189.69,1.2
361,26624-1-2,6.2,,86.29,29.39,285.79,0.12,188.4,1.18
362,26624-1-2,6.3,,86.18,29.42,285.27,0.12,187.41,1.14
363,26624-1-2,6.4,,86.06,29.44,285.13,0.11,186.65,1.11
364,26624-1-2,6.5,,85.96,29.46,285.05,0.11,186,1.07
365,26624-1-2,6.6,,85.85,29.48,284.99,0.11,185.57,1.04
366,26624-1-2,6.7,,85.75,29.5,284.96,0.1,185.45,1
367,26624-1-2,6.8,,85.66,29.53,284.91,0.09,185.49,0.95
368,26624-1-2,6.9,,85.57,29.54,284.78,0.09,185.67,0.91
369,26624-1-2,7,,85.49,29.58,284.6,0.09,185.78,0.87
370,26624-1-2,7.1,,85.41,29.61,284.11,0.09,185.96,0.82
371,26624-1-2,7.2,,85.34,29.64,283,0.08,185.99,0.77
372,26624-1-2,7.3,,85.27,29.67,281.71,0.08,185.84,0.73
373,26624-1-2,7.4,,85.2,29.7,281.14,0.08,185.31,0.69
